Symbol	Length	LTL_S1	LTL_S2	LTL_S3
RP11-54O15.3	489	1	3	8
MIR23B	98	6	6	7
MIR27B	98	18	27	20
MIR3074	82	7	9	4
RP11-80I15.4	531	3	1	4
RNA5SP288	94	0	0	3
RP11-435O5.7	674	12	6	12
RP11-435O5.2	1406	38	38	34
PTCH1	9919	194	194	298
RP11-435O5.6	457	2	0	1
RP11-435O5.5	1403	8	8	13
RP11-435O5.4	477	6	3	9
RP11-332M4.1	398	0	0	0
DKFZP434H0512	2410	2	1	0
LINC00476	2828	35	52	39
RNU2-46P	114	1	2	3
RNA5SP289	138	0	1	0
LINC00092	1728	1	3	3
RP11-569G13.2	1583	3	0	0
HSD17B3	1454	20	18	25
AL160269.1	101	0	0	0
RP11-240L7.4	1075	2	3	1
RNU6-1160P	105	3	0	0
ZNF367	3651	36	57	74
AAED1	3068	218	252	269
RP11-535M15.1	427	1	5	7
RP11-535M15.2	741	2	2	4
ZNF510	5854	419	613	584
NUTM2G	3914	23	24	29
CTSV	1731	268	153	62
RP11-520B13.4	2265	7	6	5
RNU6-798P	104	1	0	2
RP11-498P14.3	477	20	36	43
RP11-498P14.4	283	4	8	11
RP11-498P14.5	580	44	62	58
MIR1302-8	129	4	3	1
TDRD7	4560	386	421	350
RP11-244N9.6	1412	0	0	0
TSTD2	4746	213	262	264
RP11-244N9.4	288	10	16	15
XPA	1609	351	400	316
AL445531.1	93	0	0	0
RP11-546O6.4	1729	2	2	1
RP11-23B15.1	206	0	0	0
FOXE1	3452	0	0	1
C9orf156	1652	199	288	199
HEMGN	2197	0	0	0
ANP32B	1714	191	236	284
RP11-535C21.3	404	9	17	15
RNU6-918P	107	0	0	0
NANS	3451	135	243	202
TRIM14	5374	128	144	98
TBC1D2	3576	77	89	62
ANKS6	7681	837	1032	890
RP11-92C4.3	3632	0	0	0
RP11-92C4.6	440	0	0	0
TGFBR1	6625	1432	2122	1779
RNA5SP290	128	2	1	0
RP11-96L7.2	441	2	2	1
RN7SL794P	282	0	1	0
ALG2	1952	525	609	484
SEC61B	1195	893	1055	943
RN7SKP225	353	1	1	0
NAMA	2143	8	6	5
RP11-547C13.1	421	3	0	2
NR4A3	6323	23	26	32
RP11-60I3.5	547	4	7	2
STX17	3572	332	425	466
RP11-60I3.4	338	0	0	1
RN7SL75P	280	1	1	3
TEX10	7644	534	596	695
AL353805.1	75	0	0	0
MSANTD3	2476	158	195	155
MURC	2617	22	24	25
RN7SKP87	302	2	4	0
BAAT	3393	9	8	6
MRPL50	3334	639	939	617
ZNF189	3316	932	1015	952
ALDOB	2460	72	23	7
RP11-490D19.6	865	2	6	1
TMEM246	5575	130	194	152
RNF20	4326	706	969	702
AL591377.1	87	1	1	8
PPP3R2	3388	0	1	0
RNU6-329P	108	0	0	0
AL391867.1	89	0	0	0
RNA5SP291	106	0	0	0
RP11-82L2.1	7023	0	1	2
SMC2	6331	493	664	761
RP11-86L19.2	2873	1	0	0
OR13F1	1094	1	0	0
OR13C4	958	0	0	0
OR13C3	1109	1	0	2
OR13C8	964	0	0	0
OR13C5	1140	1	2	1
OR13C2	1029	0	1	0
OR13C9	958	0	0	0
OR13D1	1108	2	2	1
NIPSNAP3A	2591	438	558	482
NIPSNAP3B	1842	17	25	32
RP11-217B7.2	471	2	2	2
RP11-217B7.3	608	3	0	2
RN7SKP191	307	0	0	0
RP11-235C23.5	634	6	8	3
TAL2	631	29	63	12
RP11-6F6.1	458	0	0	0
RP11-540H22.2	373	0	0	0
RP11-308N19.3	599	0	0	0
RP11-308N19.4	2061	0	0	0
RN7SKP77	354	0	0	0
RNA5SP292	119	0	0	0
RP11-508N12.4	299	0	0	1
RP11-196I18.4	332	0	1	2
RAD23B	4265	2776	3504	2605
RP11-363D24.1	412	0	1	0
AL359552.1	71	0	0	0
RNU6-492P	105	0	0	0
KLF4	2818	165	251	341
RNU6-996P	108	0	0	0
AL162389.1	774	0	0	0
RNU6-1064P	105	0	0	0
RN7SL659P	297	0	0	0
RNA5SP293	114	0	0	0
RP11-505C13.1	226	0	0	0
AL137019.1	79	0	0	0
RP11-339N8.1	402	0	0	0
ACTL7B	2370	1	0	0
ACTL7A	1434	0	2	5
FAM206A	2752	271	480	365
CTNNAL1	3150	494	562	803
RNA5-8SP3	162	0	1	1
MIR32	71	4	3	3
FRRS1L	8202	1	11	13
RNU6-984P	110	0	0	0
AL358815.1	100	0	0	1
MIR3927	72	0	0	0
RP11-406O23.2	481	0	0	0
C9orf152	2950	0	0	0
TXN	1147	1411	1609	1170
TXNDC8	2104	0	1	0
RNU6-1039P	108	0	0	0
RNU6-124P	110	0	0	0
RP11-410K21.2	638	0	0	0
RNU6-432P	110	0	0	0
RNY4P18	90	0	0	0
OR2K2	1039	1	2	0
RNA5SP294	100	1	1	0
PTGR1	1591	2420	3200	1920
RP11-16L21.7	304	6	3	4
LRRC37A5P	1106	3	3	6
RNU6-1013P	108	1	0	0
MIR4668	71	5	0	4
RNU6-710P	106	0	0	0
RP11-4O1.2	4490	144	163	190
RNU6-855P	105	2	0	0
RN7SL57P	289	3	2	3
RNA5SP295	122	5	1	3
RN7SL430P	237	2	3	0
C9orf147	1276	10	22	12
RP11-276E15.4	422	3	1	2
SLC46A2	2506	1	0	1
RP11-408O19.5	611	2	5	2
ZNF883	2324	79	89	95
ZFP37	6358	176	244	234
FAM225A	6102	0	0	0
SLC31A2	2456	98	89	89
FKBP15	4862	480	616	608
CDC26	1181	112	163	138
PRPF4	3626	975	1098	908
RNF183	3544	19	20	26
WDR31	4928	171	201	165
HDHD3	2108	1455	1382	915
ALAD	3759	507	735	620
POLE3	2521	665	994	764
C9orf43	2305	11	19	20
RP11-168K11.2	398	0	0	1
RP11-168K11.3	3045	24	18	19
RP11-18B16.2	1226	4	3	4
AL157702.1	83	0	0	0
AMBP	1444	40	56	63
KIF12	2019	8997	8155	6795
MIR455	97	0	1	0
ORM1	1537	1	0	1
ORM2	1180	0	0	2
AKNA	10398	192	222	326
RP11-9M16.2	175	1	2	1
ATP6V1G1	1308	2196	2886	2154
C9orf91	4801	60	68	135
AL160275.1	70	0	0	1
RP11-402G3.5	438	1	0	0
RP11-402G3.3	554	1	0	0
TNFSF15	7893	366	214	449
AL390240.1	74	0	0	1
TNFSF8	2353	0	1	0
RP11-523L1.2	1531	0	0	0
RP11-445L6.3	430	0	0	0
RP11-284G10.1	399	0	0	0
LINC00474	772	0	0	0
RP11-787B4.2	511	0	0	0
AL353141.1	91	0	1	0
PAPPA-AS2	1856	10	6	7
RP11-45A16.4	732	12	4	10
AL137024.1	89	1	1	2
PAPPA-AS1	2448	0	0	0
RP11-67K19.3	4999	30	10	19
TRIM32	3721	296	338	421
AL354981.1	101	0	0	0
SNORA70C	136	0	0	0
RN7SKP128	304	0	0	0
RN7SKP125	303	0	0	1
RP11-388N2.1	753	0	0	0
RP11-500B12.1	1305	0	0	0
TLR4	5008	0	2	12
RNU6-1082P	108	0	0	0
snoZ13_snr52	98	0	0	0
RP11-281A20.1	629	1	14	8
RP11-349E4.1	388	0	0	0
RP11-295D22.1	1466	0	0	1
RP11-360A18.2	2781	4	1	2
RP11-360A18.1	385	0	0	1
MIR147A	73	0	0	0
FBXW2	10910	1137	1481	1513
RP11-27I1.4	432	13	29	12
PHF19	4589	78	71	198
TRAF1	6459	278	390	496
RAB14	4153	978	1381	1355
RN7SL181P	277	4	4	6
RP11-477J21.6	840	3	0	0
GSN-AS1	4764	46	35	51
AL161784.1	182	0	0	0
RP11-162D16.2	443	1	0	3
RN7SL187P	302	0	0	0
AL357936.1	88	0	0	0
RP11-524G24.2	664	0	0	1
RP11-244O19.1	3780	33	33	39
MIR4478	87	0	0	0
MORN5	1776	17	56	23
LHX6	4955	4	6	3
RBM18	5075	430	574	447
AL162424.2	99	0	1	1
RN7SL227P	255	0	0	0
RP11-498E2.7	709	20	26	28
RP11-498E2.8	478	3	16	10
PTGS1	5621	68	29	142
RP11-498E2.9	222	0	0	0
AL162424.1	89	0	0	0
RP11-542K23.10	303	0	0	0
RP11-542K23.9	262	0	0	0
OR1J1	1017	0	0	0
OR1J2	943	0	0	0
OR1J4	943	0	0	0
OR1N1	937	0	0	0
OR1N2	1104	0	0	0
OR1L8	1062	0	0	3
RP11-64P14.7	641	0	0	0
OR1Q1	1080	1	2	0
OR1B1	996	0	0	0
OR1L1	1084	0	0	0
OR1L3	1119	0	1	0
OR1L4	937	0	0	0
OR1L6	1045	0	0	0
OR5C1	1089	0	2	1
OR1K1	1027	1	1	1
PDCL	2817	297	421	354
RC3H2	11434	1628	1988	1960
SNORD90	112	0	1	2
ZBTB6	4108	296	432	332
ZBTB26	4648	204	330	338
RP11-355O1.11	1995	41	63	65
GPR21	1171	6	4	4
MIR600HG	99	10	9	15
CRB2	5891	620	581	874
MIR601	80	0	0	3
RP11-230L22.4	724	3	1	5
AL161790.1	75	0	0	1
RP11-417B4.2	790	16	7	7
RP11-85O21.2	2148	0	0	0
RP11-85O21.4	462	0	0	0
LHX2	2559	0	0	1
RP11-85O21.5	584	0	0	0
NEK6	4099	123	115	224
RP11-121A14.2	310	2	3	4
RP11-121A14.3	375	0	2	1
AL137846.1	77	0	5	3
GPR144	2912	0	0	0
NR5A1	3111	0	0	1
RP11-10J18.3	268	2	1	1
RN7SL302P	299	1	1	1
MIR181A2HG	664	10	19	19
MIR181A2	111	3	3	6
MIR181B2	90	1	3	2
OLFML2A	6642	35	42	288
WDR38	1261	13	71	29
RPL35	544	2623	4370	3556
ARPC5L	3607	298	370	319
RNU4-82P	141	0	0	1
AL354928.1	101	0	0	2
RABEPK	3411	94	149	135
HSPA5	3916	2035	2432	2885
RP11-65N13.8	553	1	1	3
RNU6-1020P	108	0	0	0
RN7SL30P	305	0	0	0
RP11-12A16.3	636	5	2	2
RP11-423C15.3	2207	0	2	2
RP11-343J18.1	2105	0	0	0
NRON	371	0	1	1
RP11-205K6.1	721	0	0	0
RP11-205K6.2	341	0	0	0
AL356309.1	78	0	0	0
AL161908.1	102	0	0	0
LMX1B	5838	62	39	165
RP11-123K19.2	396	5	0	1
RP11-489N22.3	737	0	0	0
AL161731.1	92	1	0	0
ZBTB43	7055	464	756	639
ANGPTL2	3895	30	24	101
RP13-225O21.2	400	8	16	22
RP11-356B19.11	629	2	3	9
SLC2A8	2931	248	277	250
ZNF79	2193	150	147	159
RPL12	2285	3855	6270	5014
SNORA65	131	6	17	12
LRSAM1	3481	417	560	557
MIR3911	110	0	1	0
C9orf117	4314	128	397	268
PTRH1	2925	9	22	20
TTC16	6381	12	23	25
TOR2A	3803	143	190	146
SH2D3C	4230	4	11	83
CDK9	2748	739	1003	1065
MIR3960	92	0	0	0
FPGS	2700	301	402	402
ENG	3198	25	37	111
RP11-228B15.4	2253	26	69	56
RNA5SP296	112	0	0	0
AK1	2557	35	41	48
RP11-203J24.9	1079	6	2	4
MIR4672	82	0	0	0
ST6GALNAC6	2643	332	291	569
PIP5KL1	2583	9	19	23
RP11-203J24.8	2525	9	7	10
DPM2	2065	230	321	261
FAM102A	4338	180	225	264
NAIF1	3540	102	158	148
SLC25A25	4572	244	271	304
RP11-379C10.4	767	1	4	5
RP11-395P17.11	746	6	4	4
RP11-395P17.3	3963	112	140	174
PTGES2	2432	303	368	347
AL590708.2	698	2	6	2
LCN2	1704	3	2	4
C9orf16	1665	107	169	146
DNM1	3899	1818	2150	2584
MIR199B	111	0	0	6
MIR3154	85	0	3	0
GOLGA2	4496	779	1029	1086
AL590708.1	84	1	0	0
SWI5	1607	125	228	187
AL359091.2	1847	3	9	8
RP11-339B21.15	356	23	26	23
RP11-339B21.14	362	41	46	39
RP11-339B21.13	574	10	16	13
COQ4	4820	944	1392	1144
SLC27A4	3123	543	646	481
URM1	3133	360	551	388
RP11-339B21.11	557	12	23	14
MIR219-2	98	0	0	0
CERCAM	5211	803	1521	1013
RP11-339B21.10	410	17	9	16
ODF2	4769	415	598	593
RP11-339B21.9	409	0	2	5
AL359091.1	93	0	0	0
GLE1	3544	496	679	615
RP11-216B9.6	1247	15	10	22
RNU7-171P	63	0	0	1
WDR34	2060	801	831	706
HMGA1P4	336	3	10	6
SET	3727	7181	9353	7739
RN7SL560P	261	0	0	0
ZDHHC12	2573	252	349	204
RP11-545E17.3	546	32	27	28
ZER1	4275	737	915	797
TBC1D13	3995	508	595	547
ENDOG	1175	24	15	24
C9orf114	4298	421	498	444
LRRC8A	4842	691	632	844
PHYHD1	2250	223	223	231
RP11-101E3.5	383	0	0	0
DOLK	2091	214	289	193
RP11-167N5.5	498	11	14	16
SH3GLB2	3022	1232	1793	1180
FAM73B	3958	492	635	618
DOLPP1	2187	281	320	288
RP11-247A12.1	243	2	4	8
AL158151.2	103	0	1	4
PPP2R4	4970	1262	1478	1374
RP11-247A12.7	508	3	0	1
IER5L	2707	147	179	217
RP11-247A12.8	699	0	0	0
RP11-247A12.2	2291	31	25	50
AL158151.1	147	0	0	0
RP11-344B5.4	969	0	1	0
RP11-344B5.3	397	0	0	0
RP11-344B5.2	586	6	14	10
C9orf106	3147	0	2	1
RP11-65J3.15	142	0	0	0
RP11-65J3.1	905	7	21	14
RN7SL159P	290	0	0	0
RP11-65J3.3	1848	1	2	0
RP11-65J3.2	802	1	6	3
AL353803.1	98	0	1	0
RP11-65J3.14	1935	4	3	2
RP11-492E3.51	384	8	10	7
RP11-492E3.2	2453	10	7	12
AL391056.1	88	0	0	0
ASB6	2336	259	346	299
RP11-483H20.4	472	7	10	8
PRRX2	1237	4	6	23
RP11-483H20.6	431	1	1	2
TOR1B	2916	306	325	350
TOR1A	3286	471	636	545
C9orf78	3558	653	866	631
USP20	4805	376	517	443
RP11-409K20.6	268	2	1	1
RP11-138E2.1	370	3	3	6
GPR107	8028	1192	1504	1590
AL360004.1	3260	0	1	0
NCS1	5138	345	356	479
AL354898.1	2228	0	0	2
RN7SL665P	299	0	0	0
ASS1	2336	3172	2153	2441
FUBP3	5213	1022	1283	1039
PRDM12	2481	0	0	0
EXOSC2	3271	412	509	527
ABL1	5777	1115	1432	1442
QRFP	412	2	2	3
FIBCD1	3769	0	3	2
RP11-83J21.3	465	0	0	0
AIF1L	4680	5007	6254	5248
RNU6-881P	103	3	3	1
RP11-544A12.4	3025	31	36	42
RP11-544A12.8	3086	18	31	25
FAM78A	5474	6	18	19
PPAPDC3	2433	6	13	15
SNORD62A	87	4	6	4
SNORD62B	87	2	3	6
POMT1	4832	853	1020	962
RP11-334J6.6	475	2	6	2
UCK1	2304	417	464	433
RN7SL328P	300	4	3	4
RP11-323H21.3	832	0	0	0
RP11-32B11.2	435	0	0	1
NTNG2	5361	0	7	2
AL159997.1	126	0	0	0
SETX	11338	2148	2507	2845
RNU5D-2P	51	0	0	0
BARHL1	2344	2	1	3
GTF3C4	9048	776	1031	996
RP11-295G24.5	533	1	0	2
RNU6-357P	66	0	1	0
C9orf9	2828	96	176	128
GFI1B	2478	2	3	1
MIR548AW	66	0	0	0
RP11-295G24.4	528	0	0	3
RNU7-21P	63	0	0	0
CEL	2395	27	27	32
CELP	1254	1	2	2
RALGDS	7953	823	1085	938
GBGT1	3489	33	26	43
OBP2B	713	0	2	1
RP11-430N14.4	5164	0	0	0
ABO	6348	100	145	164
SURF6	2689	758	816	658
MED22	7092	680	870	739
RPL7A	1175	7937	11591	9049
SNORD24	76	8	6	14
SNORD36B	75	9	12	1
SNORD36A	74	0	0	0
SNORD36C	67	19	33	22
SURF1	1415	352	486	333
SURF2	1014	149	192	124
SURF4	3089	2500	3094	2559
C9orf96	4609	78	114	106
REXO4	2368	340	471	358
CACFD1	3351	598	726	568
SLC2A6	3466	45	69	65
TMEM8C	1014	0	0	0
ADAMTSL2	4697	0	9	9
LL09NC01-254D11.1	1992	0	0	0
DBH	2775	21	10	10
DBH-AS1	2141	28	5	7
LINC00094	5997	405	463	402
BRD3	6145	454	469	563
RP11-374P20.4	2115	28	15	32
LL09NC01-251B2.3	977	5	5	8
WDR5	3196	556	583	579
RNU6ATAC	127	154	147	117
LL09NC01-139C3.1	573	6	7	5
RP11-145E17.2	745	0	0	0
MIR4669	63	0	0	0
RP11-473E2.2	453	0	0	0
RP11-473E2.4	430	0	0	0
RP11-473E2.3	282	0	0	0
COL5A1-AS1	338	0	2	2
AL603650.2	149	0	0	0
AL603650.3	79	0	0	0
MIR3689C	73	0	0	0
MIR3689A	79	0	0	0
MIR3689D1	75	0	0	0
AL603650.4	149	0	0	0
AL603650.1	79	0	0	0
MIR3689B	149	0	0	0
MIR3689D2	81	0	0	0
MIR3689E	73	0	0	0
MIR3689F	67	0	0	0
FCN2	1627	0	0	0
FCN1	1295	0	0	1
RP11-447M12.2	465	0	0	0
OLFM1	4688	2	4	5
RP11-399H11.3	529	0	0	0
RP11-399H11.2	888	1	0	0
AL390778.1	737	0	0	0
C9orf62	1927	0	0	1
RP11-555H7.2	393	0	0	0
PPP1R26-AS1	3755	118	147	100
PPP1R26	5283	958	1089	1055
C9orf116	1434	79	85	76
MRPS2	1844	325	386	343
RP11-426A6.5	1120	7	8	5
LCN1	788	0	0	0
AL161452.1	91	0	0	0
OBP2A	1025	0	1	0
PAEP	1046	0	0	0
RP11-98L5.2	2476	0	0	0
RP11-98L5.4	171	0	0	0
RP11-98L5.5	204	0	0	1
GLT6D1	1531	2	6	3
LCN9	583	16	27	17
SOHLH1	1994	0	0	0
CAMSAP1	8037	1171	1381	1345
UBAC1	2429	353	478	419
RP11-83N9.5	1275	1	11	4
C9orf69	2847	496	561	454
LHX3	2586	0	0	0
QSOX2	4542	536	631	588
WI2-1959D15.1	1229	44	41	27
DKFZP434A062	553	0	2	0
GPSM1	4801	605	679	627
DNLZ	3147	62	63	47
CARD9	2534	53	51	50
SNAPC4	5033	575	562	510
SDCCAG3	2539	444	514	533
PMPCA	4708	757	904	762
SEC16A	12052	1332	1416	1703
C9orf163	2573	21	39	23
NOTCH1	9627	1084	1531	1056
MIR4673	60	2	0	1
RP11-413M3.4	866	16	22	15
MIR4674	88	0	0	0
RP11-611D20.2	1092	35	66	48
RP11-251M1.1	559	0	0	1
EGFL7	2351	353	482	392
MIR126	86	2	6	5
AGPAT2	1518	660	858	620
AL590226.1	128	0	1	6
FAM69B	2709	366	442	319
SNHG7	4351	1295	1697	1281
LCN6	3486	8	16	4
LCN10	800	0	0	1
LCN8	2949	0	0	1
LCN15	2893	1	3	1
TMEM141	858	397	611	415
RP11-216L13.17	741	12	6	7
KIAA1984	1952	66	97	90
RP11-216L13.19	4254	138	219	285
KIAA1984-AS1	2391	105	149	146
MIR4292	68	15	25	31
C9orf172	2932	67	50	52
PHPT1	1678	1023	1305	982
MAMDC4	4495	650	810	678
EDF1	1204	2040	2356	1734
TRAF2	3032	191	190	199
MIR4479	72	1	0	0
RP11-229P13.25	821	4	9	7
FBXW5	2400	911	829	758
C8G	977	7	10	12
LCN12	1037	180	238	153
C9orf141	982	0	0	2
RP11-229P13.19	689	1	0	0
PTGDS	1217	30	159	105
LCNL1	2674	2	9	9
C9orf142	1042	154	173	179
CLIC3	1102	1	6	5
ABCA2	8281	594	864	1010
C9orf139	3818	3	4	10
FUT7	2586	1	5	4
RP11-229P13.20	699	3	7	2
NPDC1	2599	156	307	362
ENTPD2	2642	192	179	275
RP11-229P13.15	469	5	3	3
RP11-229P13.22	303	3	1	1
SAPCD2	3849	53	56	83
RP11-229P13.23	750	0	0	0
UAP1L1	3621	245	158	268
AL807752.1	316	0	1	0
SNORD62	87	1	3	2
DPP7	1603	93	180	130
GRIN1	6632	2	1	2
LRRC26	1211	0	0	0
RP11-350O14.18	463	0	0	0
MIR3621	86	0	0	0
TMEM210	1089	0	0	1
ANAPC2	3880	427	608	528
SSNA1	1185	405	498	356
TPRN	2896	324	271	276
TMEM203	1558	341	425	350
NDOR1	2511	151	200	196
C9orf169	1299	620	496	378
RNF224	1506	678	518	354
SLC34A3	2316	1244	870	669
TUBB4B	1641	5410	6541	3789
FAM166A	1296	12	33	43
C9orf173	1212	43	71	51
NELFB	2711	690	817	762
TOR4A	4150	229	258	213
RP13-122B23.8	1855	3	3	2
NRARP	2622	49	50	70
NOXA1	1692	331	249	215
ENTPD8	2232	63	48	41
NSMF	4914	454	553	546
AL365502.1	87	1	2	0
MRPL41	1264	219	290	196
DPH7	1986	371	511	471
ZMYND19	2377	205	274	267
C9orf37	1843	130	176	165
MIR602	99	1	0	0
TUBBP5	1740	26	62	27
RP11-885N19.6	540	1	0	0
FAM157B	1804	3	0	7
RNU6-785P	105	0	0	0
MT-TF	72	92	79	167
MT-RNR1	955	1138652	1322179	1442564
MT-TV	70	11	10	12
MT-RNR2	1559	6755964	8506803	7977591
MT-TL1	76	40	31	68
MT-ND1	957	2311	2807	3223
MT-TI	70	6	14	6
MT-TQ	73	4	4	2
MT-TM	69	4	5	9
MT-ND2	1043	1162	1308	1636
MT-TW	69	7	16	8
MT-TA	70	0	0	0
MT-TN	74	0	0	0
MT-TC	67	785	1376	958
MT-TY	67	168	304	298
MT-CO1	1543	70737	94489	99517
MT-TS1	70	5	3	2
MT-TD	69	4	3	2
MT-CO2	685	16499	20910	20181
MT-TK	71	2	3	0
MT-ATP8	208	1051	1438	1320
MT-ATP6	682	6349	8113	9009
MT-CO3	785	62779	75060	73361
MT-TG	69	25	40	35
MT-ND3	347	4135	4842	4374
MT-TR	66	4	9	1
MT-ND4L	298	2020	2420	3247
MT-ND4	1379	7161	8253	11276
MT-TH	70	7	12	9
MT-TS2	60	26	36	32
MT-TL2	72	46	50	52
MT-ND5	1813	4516	5140	7352
MT-ND6	526	1151	1222	1235
MT-TE	70	18	15	13
MT-CYB	1142	7189	7858	10272
MT-TT	67	10	12	14
MT-TP	69	1965	2889	2236
SYAP1	6427	3629	4873	3840
RPL36A-HNRNPH2	567	0	0	0
HNRNPH2	2225	1550	1783	1406
TBL1X	7028	766	825	934
MID1	7583	235	236	364
ARHGAP6	7244	331	463	451
FRMPD4	8482	0	1	23
EGFL6	2620	104	101	219
GLRA2	3725	11	7	24
RAI2	2626	12	13	32
SMS	2384	2248	2831	1981
RP11-40F8.2	722	0	0	1
RP11-268G12.1	1885	3	4	1
IL1RAPL1	3678	41	52	88
DMD	16374	317	560	625
TM4SF2	963	0	0	0
EFHC2	3335	131	367	226
RP11-342D14.1	1734	0	0	0
ARHGEF9	6469	630	950	802
EDA	6001	92	96	102
NHSL2	5008	79	123	176
FAM46D	3210	0	0	0
DACH2	2515	48	65	52
PCDH11X	11668	1	8	14
DIAPH2	9579	170	327	394
PCDH19	9762	42	26	46
NXF2B	4807	0	2	2
RAB40A	3401	23	55	32
IL1RAPL2	3158	22	16	29
CXorf57	4014	256	380	369
TRPC5	5850	13	16	22
TENM1	12928	167	224	338
ZDHHC9	5230	1142	1147	884
ENOX2	4205	334	571	332
FHL1	4371	110	146	242
AFF2	14028	86	148	250
CD99L2	5133	840	1287	1051
PDZD4	3884	9	10	25
F8	9469	90	91	84
DHRSX	5906	0	0	0
CD99	4176	0	0	0
GYG2	3439	369	486	337
ARSE	2421	410	441	363
ARSF	2228	2	6	0
PRKX	6078	143	207	194
RP11-733O18.1	863	0	0	0
NLGN4X	6734	11	36	32
STS	6531	162	149	194
KAL1	6738	102	281	426
GPR143	2130	223	207	228
SHROOM2	7719	477	472	563
WWC3	7138	330	398	579
RP6-1O2.1	616	0	0	0
RP11-120D5.1	1553	7	10	6
HCCS	2342	215	283	220
OFD1	4464	1486	1946	1803
GPM6B	5143	166	182	318
PIR	2024	74	73	73
ACE2	3526	1968	513	1199
AP1S2	5274	450	535	684
CTPS2	5056	1401	1917	1777
REPS2	8119	1192	1524	1045
NHS	9223	1322	1792	1293
RP1-60N8.1	1556	38	43	41
RP3-410B11.1	713	33	27	26
BEND2	4672	0	0	0
SCML2	4381	65	82	100
CDKL5	3599	339	396	406
PPEF1	3198	5	20	8
GPR64	4905	38	456	296
MAP3K15	5274	127	160	93
SH3KBP1	5736	54	53	94
MAP7D2	4462	30	16	14
RPS6KA3	8570	973	1133	1371
CNKSR2	7112	11	20	22
SMPX	1046	0	0	1
MBTPS2	8939	294	377	534
PHEX	7155	82	68	266
ACOT9	4443	458	551	758
APOO	1161	171	292	240
PDK3	2707	272	386	370
PCYT1B	5564	9	29	86
POLA1	6060	442	667	732
DCAF8L2	4095	0	0	0
TAB3	6865	721	846	854
RP11-305F18.1	498	4	5	2
RP11-545D19.1	529	0	0	1
CXorf30	2878	12	18	19
RP11-87M18.2	1869	0	0	0
PRRG1	6098	435	646	462
LANCL3	10304	2	8	10
SYTL5	4912	14	39	45
SRPX	2031	5	1	21
RPGR	6463	188	239	224
OTC	1595	0	0	0
TSPAN7	2586	28	49	31
BCOR	7007	717	1171	1029
CXorf38	3949	178	201	237
USP9X	12446	3270	4315	4162
CASK	9249	962	1239	1332
GPR34	1927	9	10	20
RP1-154K9.2	903	21	8	3
MAOA	4139	1139	1409	1457
MAOB	2976	302	344	443
KDM6A	6094	583	837	776
ZNF674	4762	125	115	133
SLC9A7	3855	195	284	197
PHF16	4984	321	497	482
UBA1	4957	3130	3937	3406
ZNF41	4789	186	245	225
SYN1	3216	16	34	23
CXXC1P1	1901	0	0	0
ZNF81	8416	199	261	309
ZNF182	3594	164	208	196
AF196972.9	655	7	8	12
GLOD5	801	8	15	6
PQBP1	1486	454	552	466
TFE3	3495	395	501	549
MAGIX	4952	128	151	102
CLCN5	10636	7928	10991	7308
CCNB3	4860	15	25	28
DGKK	7434	148	117	116
SHROOM4	10200	771	946	943
RP11-104D21.3	739	1	0	3
RP11-348F1.3	453	3	2	5
RP11-56H2.2	464	0	0	0
MAGED1	5824	1760	2515	2362
GPR173	4487	194	298	268
IQSEC2	6980	71	80	126
HUWE1	15252	4578	5505	5848
PHF8	7178	555	637	593
FAM120C	8817	130	162	191
WNK3	11367	405	652	529
ITIH6	5511	4	0	2
ALAS2	2146	4	4	2
FAM104B	2504	241	331	245
RP11-382F24.2	451	0	0	0
RP13-188A5.1	1009	39	36	53
SPIN2B	1481	70	80	62
FAAH2	1994	276	357	263
ZXDA	5205	8	3	9
RP11-357C3.3	2890	63	94	100
MTMR8	3829	23	31	35
ZC4H2	5088	208	238	275
LAS1L	2453	434	629	499
HEPH	6890	436	586	732
AR	11821	323	399	531
OPHN1	7941	358	518	485
STARD8	5573	659	905	652
LINC00269	2178	0	0	0
KIF4A	4755	29	31	141
TEX11	3403	1	0	2
NLGN3	4014	22	37	46
NONO	4287	5598	7605	6588
TAF1	8675	711	963	1118
OGT	5554	3788	4933	5136
PIN4	3049	362	465	323
ERCC6L	4364	35	42	63
HDAC8	4971	309	338	297
PHKA1	6383	69	119	84
RP11-493K23.1	1171	0	0	0
MAP2K4P1	2541	1	4	3
CHIC1	6863	357	457	446
SLC16A2	4378	142	198	313
KIAA2022	11723	3	10	51
ABCB7	2414	363	476	460
ZDHHC15	6833	64	152	106
ATRX	11451	1728	2006	2277
ATP7A	8511	542	647	726
RP5-1000K24.2	2365	6	10	18
BRWD3	11422	750	877	1168
SH3BGRL	2068	1011	1400	1236
RPS6KA6	2818	306	337	323
HDX	6320	92	138	151
APOOL	1288	136	172	165
POF1B	4046	70	41	99
CHM	8017	737	943	892
KLHL4	5829	16	29	154
FAM133A	3421	2	1	7
DIAPH2-AS1	2319	2	5	2
TRMT2B	3701	231	269	230
CENPI	3974	21	40	62
TAF7L	2742	5	3	15
NXF2	4729	1	2	1
LINC00630	2109	110	151	159
H2BFM	2168	0	0	0
FAM199X	7463	1744	2419	2096
TEX13A	1382	0	0	0
NRK	8497	827	984	1837
RNF128	3396	300	192	516
CLDN2	3414	909	490	854
NUP62CL	1771	112	215	206
FRMPD3	7296	2	3	15
MID2	2886	258	429	470
ATG4A	2715	205	327	277
COL4A6	9090	581	1018	874
